"id","fdc_id","name","pct_weight","is_refuse","gram_weight","data_points","min_year_acqured"
"57466","","Skin and separable fat","","Y","10.0","1",""
"57467","","Total gram weight","","N","101.0","1",""
"57468","","Edible portion","","N","62.9","1",""
"57469","","Bone and cartilage","","Y","31.6","1",""
"57470","","Separable Lean","","N","62.9","1",""
"57471","","Handling loss","","N","0.0","1",""
"57472","","Skin and separable fat","","Y","6.6","1",""
"57473","","Total gram weight","","N","82.8","1",""
"57474","","Edible portion","","N","51.9","1",""
"57475","","Bone and cartilage","","Y","22.8","1",""
"57476","","Separable Lean","","N","51.9","1",""
"57477","","Handling loss","","N","1.6","1",""
"57478","","Skin and separable fat","","Y","6.5","1",""
"57479","","Total gram weight","","N","87.6","1",""
"57480","","Edible portion","","N","52.9","1",""
"57481","","Bone and cartilage","","Y","26.9","1",""
"57482","","Separable Lean","","N","52.9","1",""
"57483","","Handling loss","","N","1.0","1",""
"57484","","Skin and separable fat","","Y","6.8","1",""
"57485","","Skin and separable fat","","Y","4.8","1",""
"57486","","Total gram weight","","N","82.9","1",""
"57487","","Edible portion","","N","46.7","1",""
"57488","","Bone and cartilage","","Y","30.7","1",""
"57489","","Separable Lean","","N","46.7","1",""
"57490","","Handling loss","","N","0.7","1",""
"57491","","Total gram weight","","N","153.0","1",""
"57492","","Edible portion","","N","87.8","1",""
"57493","","Bone and cartilage","","Y","49.6","1",""
"57494","","Separable Lean","","N","87.8","1",""
"57495","","Handling loss","","N","2.0","1",""
"57496","","Skin and separable fat","","Y","14.0","1",""
"57497","","Total gram weight","","N","107.0","1",""
"57498","","Edible portion","","N","67.2","1",""
"57499","","Bone and cartilage","","Y","32.1","1",""
"57500","","Separable Lean","","N","67.2","1",""
"57501","","Handling loss","","N","1.8","1",""
"57502","","Skin and separable fat","","Y","5.5","1",""
"57503","","Skin and separable fat","","Y","9.9","1",""
"57504","","Total gram weight","","N","129.0","1",""
"57505","","Edible portion","","N","75.5","1",""
"57506","","Bone and cartilage","","Y","42.8","1",""
"57507","","Separable Lean","","N","75.5","1",""
"57508","","Handling loss","","N","0.9","1",""
"57509","","Total gram weight","","N","112.0","1",""
"57510","","Edible portion","","N","62.4","1",""
"57511","","Bone and cartilage","","Y","39.3","1",""
"57512","","Separable Lean","","N","62.4","1",""
"57513","","Handling loss","","N","0.8","1",""
"57514","","Skin and separable fat","","Y","9.0","1",""
"57515","","Total gram weight","","N","77.0","1",""
"57516","","Edible portion","","N","43.6","1",""
"57517","","Bone and cartilage","","Y","27.3","1",""
"57518","","Separable Lean","","N","43.6","1",""
"57519","","Handling loss","","N","1.5","1",""
"57520","","Skin and separable fat","","Y","4.6","1",""
"57521","","Total gram weight","","N","96.6","1",""
"57522","","Edible portion","","N","52.2","1",""
"57523","","Bone and cartilage","","Y","34.4","1",""
"57524","","Separable Lean","","N","52.2","1",""
"57525","","Handling loss","","N","1.6","1",""
"57526","","Skin and separable fat","","Y","8.4","1",""
"57527","","Skin and separable fat","","Y","6.7","1",""
"57528","","Total gram weight","","N","99.2","1",""
"57529","","Edible portion","","N","54.8","1",""
"57530","","Bone and cartilage","","Y","35.8","1",""
"57531","","Separable Lean","","N","54.8","1",""
"57532","","Handling loss","","N","1.9","1",""
"57533","","Total gram weight","","N","116.0","1",""
"57534","","Bone and cartilage","","Y","44.0","1",""
"57535","","Separable Lean","","N","63.8","1",""
"57536","","Handling loss","","N","2.5","1",""
"57537","","Edible portion","","N","63.8","1",""
"57538","","Skin and separable fat","","Y","5.4","1",""
"57539","","Total gram weight","","N","106.0","1",""
"57540","","Edible portion","","N","69.7","1",""
"57541","","Bone and cartilage","","Y","28.8","1",""
"57542","","Separable Lean","","N","69.7","1",""
"57543","","Handling loss","","N","1.1","1",""
"57544","","Skin and separable fat","","Y","6.1","1",""
"57545","","Total gram weight","","N","102.0","1",""
"57546","","Edible portion","","N","63.0","1",""
"57547","","Bone and cartilage","","Y","28.8","1",""
"57548","","Separable Lean","","N","63.0","1",""
"57549","","Handling loss","","N","2.4","1",""
"57550","","Skin and separable fat","","Y","7.6","1",""
"57551","","Total gram weight","","N","103.0","1",""
"57552","","Edible portion","","N","56.6","1",""
"57553","","Bone and cartilage","","Y","37.4","1",""
"57554","","Separable Lean","","N","56.6","1",""
"57555","","Handling loss","","N","1.6","1",""
"57556","","Skin and separable fat","","Y","7.2","1",""
"57557","","Skin and separable fat","","Y","7.7","1",""
"57558","","Total gram weight","","N","113.0","1",""
"57559","","Edible portion","","N","67.1","1",""
"57560","","Bone and cartilage","","Y","36.7","1",""
"57561","","Separable Lean","","N","67.1","1",""
"57562","","Handling loss","","N","1.3","1",""
"57563","","Skin and separable fat","","Y","10.2","1",""
"57564","","Total gram weight","","N","122.0","1",""
"57565","","Edible portion","","N","69.9","1",""
"57566","","Bone and cartilage","","Y","38.3","1",""
"57567","","Separable Lean","","N","69.9","1",""
"57568","","Handling loss","","N","3.8","1",""
"57569","","Skin and separable fat","","Y","5.7","1",""
"57570","","Total gram weight","","N","70.1","1",""
"57571","","Edible portion","","N","41.1","1",""
"57572","","Bone and cartilage","","Y","21.8","1",""
"57573","","Separable Lean","","N","41.1","1",""
"57574","","Handling loss","","N","1.5","1",""
"57575","","Skin and separable fat","","Y","10.5","1",""
"57576","","Total gram weight","","N","116.0","1",""
"57577","","Edible portion","","N","64.3","1",""
"57578","","Bone and cartilage","","Y","40.3","1",""
"57579","","Separable Lean","","N","64.3","1",""
"57580","","Handling loss","","N","1.3","1",""
"57581","","Total gram weight","","N","87.5","1",""
"57582","","Edible portion","","N","49.8","1",""
"57583","","Bone and cartilage","","Y","29.2","1",""
"57584","","Separable Lean","","N","49.8","1",""
"57585","","Handling loss","","N","1.7","1",""
"57586","","Skin and separable fat","","Y","6.8","1",""
"57587","","Total gram weight","","N","92.7","1",""
"57588","","Edible portion","","N","52.5","1",""
"57589","","Bone and cartilage","","Y","33.0","1",""
"57590","","Separable Lean","","N","52.5","1",""
"57591","","Handling loss","","N","1.6","1",""
"57592","","Skin and separable fat","","Y","5.6","1",""
"57593","","Total gram weight","","N","106.0","1",""
"57594","","Separable Lean","","N","60.7","1",""
"57595","","Handling loss","","N","1.4","1",""
"57596","","Edible portion","","N","60.7","1",""
"57597","","Bone and cartilage","","Y","38.2","1",""
"57598","","Skin and separable fat","","Y","6.2","1",""
"57599","","Total gram weight","","N","107.0","1",""
"57600","","Edible portion","","N","56.9","1",""
"57601","","Bone and cartilage","","Y","39.4","1",""
"57602","","Separable Lean","","N","56.9","1",""
"57603","","Handling loss","","N","2.6","1",""
"57604","","Skin and separable fat","","Y","7.7","1",""
"57605","","Skin and separable fat","","Y","7.6","1",""
"57606","","Total gram weight","","N","108.0","1",""
"57607","","Edible portion","","N","62.9","1",""
"57608","","Bone and cartilage","","Y","37.3","1",""
"57609","","Separable Lean","","N","62.9","1",""
"57610","","Handling loss","","N","0.5","1",""
"57611","","Total gram weight","","N","110.0","1",""
"57612","","Edible portion","","N","63.1","1",""
"57613","","Bone and cartilage","","Y","31.9","1",""
"57614","","Separable Lean","","N","63.1","1",""
"57615","","Handling loss","","N","2.0","1",""
"57616","","Skin and separable fat","","Y","13.2","1",""
"57617","","Skin and separable fat","","Y","15.0","1",""
"57618","","Total gram weight","","N","140.0","1",""
"57619","","Edible portion","","N","80.9","1",""
"57620","","Bone and cartilage","","Y","42.4","1",""
"57621","","Separable Lean","","N","80.9","1",""
"57622","","Handling loss","","N","1.7","1",""
"57623","","Total gram weight","","N","112.0","1",""
"57624","","Edible portion","","N","58.0","1",""
"57625","","Bone and cartilage","","Y","43.4","1",""
"57626","","Separable Lean","","N","58.0","1",""
"57627","","Handling loss","","N","2.1","1",""
"57628","","Skin and separable fat","","Y","8.6","1",""
"57629","","Total gram weight","","N","93.5","1",""
"57630","","Edible portion","","N","52.8","1",""
"57631","","Bone and cartilage","","Y","29.1","1",""
"57632","","Separable Lean","","N","52.8","1",""
"57633","","Handling loss","","N","2.1","1",""
"57634","","Skin and separable fat","","Y","9.5","1",""
"57635","","Bone and cartilage","","Y","34.2","1",""
"57636","","Total gram weight","","N","103.0","1",""
"57637","","Separable Lean","","N","60.2","1",""
"57638","","Handling loss","","N","1.4","1",""
"57639","","Edible portion","","N","60.2","1",""
"57640","","Skin and separable fat","","Y","7.6","1",""
"57641","","Bone and cartilage","","Y","38.5","1",""
"57642","","Total gram weight","","N","128.0","1",""
"57643","","Separable Lean","","N","75.9","1",""
"57644","","Handling loss","","N","2.1","1",""
"57645","","Edible portion","","N","75.9","1",""
"57646","","Skin and separable fat","","Y","11.9","1",""
"57647","","Bone and cartilage","","Y","36.7","1",""
"57648","","Total gram weight","","N","100.0","1",""
"57649","","Edible portion","","N","53.7","1",""
"57650","","Separable Lean","","N","53.7","1",""
"57651","","Handling loss","","N","2.0","1",""
"57652","","Skin and separable fat","","Y","7.6","1",""
"57653","","Bone and cartilage","","Y","32.6","1",""
"57654","","Total gram weight","","N","88.1","1",""
"57655","","Separable Lean","","N","46.6","1",""
"57656","","Handling loss","","N","1.9","1",""
"57657","","Edible portion","","N","46.6","1",""
"57658","","Skin and separable fat","","Y","7.0","1",""
"57659","","Bone and cartilage","","Y","24.5","1",""
"57660","","Total gram weight","","N","77.2","1",""
"57661","","Edible portion","","N","43.8","1",""
"57662","","Separable Lean","","N","43.8","1",""
"57663","","Handling loss","","N","1.3","1",""
"57664","","Skin and separable fat","","Y","7.6","1",""
"57665","","Bone and cartilage","","Y","32.2","1",""
"57666","","Total gram weight","","N","96.2","1",""
"57667","","Edible portion","","N","54.0","1",""
"57668","","Separable Lean","","N","54.0","1",""
"57669","","Handling loss","","N","1.8","1",""
"57670","","Skin and separable fat","","Y","8.2","1",""
"57671","","Bone and cartilage","","Y","35.6","1",""
"57672","","Total gram weight","","N","101.0","1",""
"57673","","Separable Lean","","N","54.4","1",""
"57674","","Handling loss","","N","1.6","1",""
"57675","","Edible portion","","N","54.4","1",""
"57676","","Skin and separable fat","","Y","9.6","1",""
"57677","","Bone and cartilage","","Y","34.2","1",""
"57678","","Total gram weight","","N","111.0","1",""
"57679","","Edible portion","","N","66.7","1",""
"57680","","Separable Lean","","N","66.7","1",""
"57681","","Handling loss","","N","1.9","1",""
"57682","","Skin and separable fat","","Y","8.3","1",""
"57683","","Bone and cartilage","","Y","39.4","1",""
"57684","","Total gram weight","","N","141.0","1",""
"57685","","Separable Lean","","N","86.5","1",""
"57686","","Handling loss","","N","1.5","1",""
"57687","","Edible portion","","N","86.5","1",""
"57688","","Skin and separable fat","","Y","13.2","1",""
"57689","","Bone and cartilage","","Y","25.0","1",""
"57690","","Total gram weight","","N","77.8","1",""
"57691","","Separable Lean","","N","44.8","1",""
"57692","","Handling loss","","N","1.5","1",""
"57693","","Edible portion","","N","44.8","1",""
"57694","","Skin and separable fat","","Y","6.5","1",""
"57695","","Bone and cartilage","","Y","28.1","1",""
"57696","","Total gram weight","","N","91.0","1",""
"57697","","Separable Lean","","N","54.0","1",""
"57698","","Handling loss","","N","1.2","1",""
"57699","","Edible portion","","N","54.0","1",""
"57700","","Skin and separable fat","","Y","7.7","1",""
"57701","","Bone and cartilage","","Y","40.0","1",""
"57702","","Total gram weight","","N","115.0","1",""
"57703","","Separable Lean","","N","65.5","1",""
"57704","","Handling loss","","N","0.6","1",""
"57705","","Edible portion","","N","65.5","1",""
"57706","","Skin and separable fat","","Y","9.1","1",""
"57707","","Bone and cartilage","","Y","35.9","1",""
"57708","","Total gram weight","","N","124.0","1",""
"57709","","Separable Lean","","N","74.5","1",""
"57710","","Handling loss","","N","1.7","1",""
"57711","","Edible portion","","N","74.5","1",""
"57712","","Skin and separable fat","","Y","11.4","1",""
"57713","","Bone and cartilage","","Y","24.8","1",""
"57714","","Total gram weight","","N","76.0","1",""
"57715","","Separable Lean","","N","43.1","1",""
"57716","","Handling loss","","N","0.9","1",""
"57717","","Edible portion","","N","43.1","1",""
"57718","","Skin and separable fat","","Y","7.2","1",""
"57719","","Bone and cartilage","","Y","30.2","1",""
"57720","","Total gram weight","","N","97.9","1",""
"57721","","Separable Lean","","N","58.3","1",""
"57722","","Handling loss","","N","2.4","1",""
"57723","","Edible portion","","N","58.3","1",""
"57724","","Skin and separable fat","","Y","7.0","1",""
"57725","","Bone and cartilage","","Y","42.9","1",""
"57726","","Total gram weight","","N","134.0","1",""
"57727","","Separable Lean","","N","77.2","1",""
"57728","","Handling loss","","N","1.1","1",""
"57729","","Edible portion","","N","77.2","1",""
"57730","","Skin and separable fat","","Y","13.0","1",""
"57731","","Bone and cartilage","","Y","35.3","1",""
"57732","","Total gram weight","","N","109.0","1",""
"57733","","Edible portion","","N","62.8","1",""
"57734","","Separable Lean","","N","62.8","1",""
"57735","","Handling loss","","N","1.8","1",""
"57736","","Skin and separable fat","","Y","9.2","1",""
"57737","","Bone and cartilage","","Y","23.5","1",""
"57738","","Total gram weight","","N","69.3","1",""
"57739","","Separable Lean","","N","39.0","1",""
"57740","","Handling loss","","N","1.2","1",""
"57741","","Edible portion","","N","39.0","1",""
"57742","","Skin and separable fat","","Y","5.6","1",""
"57743","","Bone and cartilage","","Y","35.6","1",""
"57744","","Total gram weight","","N","114.0","1",""
"57745","","Edible portion","","N","67.0","1",""
"57746","","Separable Lean","","N","67.0","1",""
"57747","","Handling loss","","N","1.5","1",""
"57748","","Skin and separable fat","","Y","10.2","1",""
"57749","","Bone and cartilage","","Y","36.9","1",""
"57750","","Total gram weight","","N","107.0","1",""
"57751","","Separable Lean","","N","61.6","1",""
"57752","","Handling loss","","N","1.8","1",""
"57753","","Edible portion","","N","61.6","1",""
"57754","","Skin and separable fat","","Y","6.5","1",""
"57755","","Bone and cartilage","","Y","27.1","1",""
"57756","","Total gram weight","","N","77.6","1",""
"57757","","Edible portion","","N","44.4","1",""
"57758","","Separable Lean","","N","44.4","1",""
"57759","","Handling loss","","N","1.0","1",""
"57760","","Skin and separable fat","","Y","5.1","1",""
"57761","","Bone and cartilage","","Y","35.7","1",""
"57762","","Total gram weight","","N","104.0","1",""
"57763","","Separable Lean","","N","56.0","1",""
"57764","","Handling loss","","N","1.9","1",""
"57765","","Edible portion","","N","56.0","1",""
"57766","","Skin and separable fat","","Y","10.0","1",""
"57767","","Bone and cartilage","","Y","37.2","1",""
"57768","","Total gram weight","","N","103.0","1",""
"57769","","Separable Lean","","N","56.5","1",""
"57770","","Handling loss","","N","1.7","1",""
"57771","","Edible portion","","N","56.5","1",""
"57772","","Skin and separable fat","","Y","7.5","1",""
"57773","","Bone and cartilage","","Y","27.0","1",""
"57774","","Total gram weight","","N","82.8","1",""
"57775","","Separable Lean","","N","48.0","1",""
"57776","","Handling loss","","N","1.2","1",""
"57777","","Edible portion","","N","48.0","1",""
"57778","","Skin and separable fat","","Y","6.6","1",""
"57779","","Bone and cartilage","","Y","35.6","1",""
"57780","","Total gram weight","","N","141.0","1",""
"57781","","Separable Lean","","N","87.2","1",""
"57782","","Handling loss","","N","1.2","1",""
"57783","","Edible portion","","N","87.2","1",""
"57784","","Skin and separable fat","","Y","17.4","1",""
"57785","","Bone and cartilage","","Y","33.9","1",""
"57786","","Total gram weight","","N","95.6","1",""
"57787","","Separable Lean","","N","53.0","1",""
"57788","","Handling loss","","N","1.1","1",""
"57789","","Edible portion","","N","53.0","1",""
"57790","","Skin and separable fat","","Y","7.6","1",""
"57791","","Bone and cartilage","","Y","38.7","1",""
"57792","","Total gram weight","","N","111.0","1",""
"57793","","Separable Lean","","N","59.7","1",""
"57794","","Handling loss","","N","1.2","1",""
"57795","","Edible portion","","N","59.7","1",""
"57796","","Skin and separable fat","","Y","11.4","1",""
"57797","","Bone and cartilage","","Y","41.5","1",""
"57798","","Total gram weight","","N","84.0","1",""
"57799","","Separable Lean","","N","35.2","1",""
"57800","","Handling loss","","N","2.0","1",""
"57801","","Edible portion","","N","35.2","1",""
"57802","","Skin and separable fat","","Y","5.3","1",""
"57803","","Bone and cartilage","","Y","40.4","1",""
"57804","","Total gram weight","","N","119.0","1",""
"57805","","Edible portion","","N","66.8","1",""
"57806","","Separable Lean","","N","66.8","1",""
"57807","","Handling loss","","N","1.1","1",""
"57808","","Skin and separable fat","","Y","10.9","1",""
"57809","","Bone and cartilage","","Y","38.4","1",""
"57810","","Total gram weight","","N","114.0","1",""
"57811","","Separable Lean","","N","63.4","1",""
"57812","","Handling loss","","N","2.8","1",""
"57813","","Edible portion","","N","63.4","1",""
"57814","","Skin and separable fat","","Y","9.4","1",""
"57815","","Bone and cartilage","","Y","33.9","1",""
"57816","","Total gram weight","","N","110.0","1",""
"57817","","Edible portion","","N","66.1","1",""
"57818","","Separable Lean","","N","66.1","1",""
"57819","","Handling loss","","N","2.7","1",""
"57820","","Skin and separable fat","","Y","7.1","1",""
"57821","","Bone and cartilage","","Y","39.6","1",""
"57822","","Total gram weight","","N","124.0","1",""
"57823","","Separable Lean","","N","73.1","1",""
"57824","","Handling loss","","N","1.7","1",""
"57825","","Edible portion","","N","73.1","1",""
"57826","","Skin and separable fat","","Y","9.4","1",""
"57827","","Bone and cartilage","","Y","33.2","1",""
"57828","","Total gram weight","","N","94.7","1",""
"57829","","Separable Lean","","N","52.4","1",""
"57830","","Handling loss","","N","1.4","1",""
"57831","","Edible portion","","N","52.4","1",""
"57832","","Skin and separable fat","","Y","7.7","1",""
"57833","","Bone and cartilage","","Y","34.2","1",""
"57834","","Total gram weight","","N","99.4","1",""
"57835","","Edible portion","","N","57.1","1",""
"57836","","Separable Lean","","N","57.1","1",""
"57837","","Handling loss","","N","1.3","1",""
"57838","","Skin and separable fat","","Y","6.8","1",""
"57839","","Bone and cartilage","","Y","27.3","1",""
"57840","","Total gram weight","","N","77.8","1",""
"57841","","Separable Lean","","N","42.0","1",""
"57842","","Handling loss","","N","1.4","1",""
"57843","","Edible portion","","N","42.0","1",""
"57844","","Skin and separable fat","","Y","7.1","1",""
"57845","","Bone and cartilage","","Y","40.5","1",""
"57846","","Total gram weight","","N","115.0","1",""
"57847","","Separable Lean","","N","63.2","1",""
"57848","","Handling loss","","N","1.9","1",""
"57849","","Edible portion","","N","63.2","1",""
"57850","","Skin and separable fat","","Y","9.4","1",""
"57851","","Bone and cartilage","","Y","32.0","1",""
"57852","","Total gram weight","","N","87.1","1",""
"57853","","Separable Lean","","N","46.4","1",""
"57854","","Handling loss","","N","2.1","1",""
"57855","","Edible portion","","N","46.4","1",""
"57856","","Skin and separable fat","","Y","6.6","1",""
"57857","","Bone and cartilage","","Y","44.5","1",""
"57858","","Total gram weight","","N","136.0","1",""
"57859","","Separable Lean","","N","77.0","1",""
"57860","","Handling loss","","N","3.0","1",""
"57861","","Edible portion","","N","77.0","1",""
"57862","","Skin and separable fat","","Y","11.1","1",""
"57863","","Bone and cartilage","","Y","35.5","1",""
"57864","","Total gram weight","","N","117.0","1",""
"57865","","Separable Lean","","N","70.3","1",""
"57866","","Handling loss","","N","1.7","1",""
"57867","","Edible portion","","N","70.3","1",""
"57868","","Skin and separable fat","","Y","9.8","1",""
"57869","","Bone and cartilage","","Y","41.2","1",""
"57870","","Total gram weight","","N","109.0","1",""
"57871","","Separable Lean","","N","59.0","1",""
"57872","","Handling loss","","N","1.8","1",""
"57873","","Edible portion","","N","59.0","1",""
"57874","","Skin and separable fat","","Y","7.0","1",""
"57875","","Bone and cartilage","","Y","25.0","1",""
"57876","","Total gram weight","","N","89.7","1",""
"57877","","Separable Lean","","N","54.1","1",""
"57878","","Handling loss","","N","1.2","1",""
"57879","","Edible portion","","N","54.1","1",""
"57880","","Skin and separable fat","","Y","9.4","1",""
"57881","","Bone and cartilage","","Y","35.6","1",""
"57882","","Total gram weight","","N","111.0","1",""
"57883","","Separable Lean","","N","64.8","1",""
"57884","","Handling loss","","N","1.2","1",""
"57885","","Edible portion","","N","64.8","1",""
"57886","","Skin and separable fat","","Y","9.0","1",""
"57887","","Bone and cartilage","","Y","37.9","1",""
"57888","","Total gram weight","","N","125.0","1",""
"57889","","Separable Lean","","N","73.8","1",""
"57890","","Handling loss","","N","0.0","1",""
"57891","","Edible portion","","N","73.8","1",""
"57892","","Skin and separable fat","","Y","13.2","1",""
"57893","","Bone and cartilage","","Y","36.8","1",""
"57894","","Total gram weight","","N","116.0","1",""
"57895","","Separable Lean","","N","65.4","1",""
"57896","","Handling loss","","N","2.4","1",""
"57897","","Edible portion","","N","65.4","1",""
"57898","","Skin and separable fat","","Y","11.0","1",""
"57899","","Bone and cartilage","","Y","32.2","1",""
"57900","","Total gram weight","","N","109.0","1",""
"57901","","Edible portion","","N","67.6","1",""
"57902","","Separable Lean","","N","67.6","1",""
"57903","","Handling loss","","N","1.5","1",""
"57904","","Skin and separable fat","","Y","7.8","1",""
"57905","","Bone and cartilage","","Y","40.6","1",""
"57906","","Total gram weight","","N","109.0","1",""
"57907","","Edible portion","","N","59.3","1",""
"57908","","Separable Lean","","N","59.3","1",""
"57909","","Handling loss","","N","2.1","1",""
"57910","","Skin and separable fat","","Y","7.2","1",""
"57911","","Bone and cartilage","","Y","29.9","1",""
"57912","","Total gram weight","","N","99.0","1",""
"57913","","Edible portion","","N","58.1","1",""
"57914","","Separable Lean","","N","58.1","1",""
"57915","","Handling loss","","N","1.6","1",""
"57916","","Skin and separable fat","","Y","9.4","1",""
"57917","","Bone and cartilage","","Y","17.8","1",""
"57918","","Total gram weight","","N","89.6","1",""
"57919","","Edible portion","","N","61.0","1",""
"57920","","Separable Lean","","N","61.0","1",""
"57921","","Handling loss","","N","0.8","1",""
"57922","","Skin and separable fat","","Y","10.0","1",""
"57923","","Bone and cartilage","","Y","41.7","1",""
"57924","","Total gram weight","","N","116.0","1",""
"57925","","Separable Lean","","N","62.4","1",""
"57926","","Handling loss","","N","1.9","1",""
"57927","","Edible portion","","N","62.4","1",""
"57928","","Skin and separable fat","","Y","9.8","1",""
"57929","","Bone and cartilage","","Y","23.0","1",""
"57930","","Total gram weight","","N","83.1","1",""
"57931","","Separable Lean","","N","51.9","1",""
"57932","","Handling loss","","N","1.0","1",""
"57933","","Edible portion","","N","51.9","1",""
"57934","","Skin and separable fat","","Y","7.2","1",""
"57935","","Edible portion","","N","101.0","1",""
"57936","","Handling loss","","N","5.2","1",""
"57937","","Skin and separable fat","","Y","46.7","1",""
"57938","","Bone and cartilage","","Y","21.2","1",""
"57939","","Total gram weight","","N","174.0","1",""
"57940","","Separable Lean","","N","101.0","1",""
"57941","","Handling loss","","N","6.6","1",""
"57942","","Skin and separable fat","","Y","46.3","1",""
"57943","","Bone and cartilage","","Y","37.0","1",""
"57944","","Edible portion","","N","171.0","1",""
"57945","","Total gram weight","","N","261.0","1",""
"57946","","Separable Lean","","N","171.0","1",""
"57947","","Handling loss","","N","4.0","1",""
"57948","","Skin and separable fat","","Y","54.0","1",""
"57949","","Bone and cartilage","","Y","36.1","1",""
"57950","","Edible portion","","N","140.0","1",""
"57951","","Total gram weight","","N","234.0","1",""
"57952","","Separable Lean","","N","140.0","1",""
"57953","","Handling loss","","N","5.9","1",""
"57954","","Skin and separable fat","","Y","47.6","1",""
"57955","","Bone and cartilage","","Y","32.8","1",""
"57956","","Edible portion","","N","130.0","1",""
"57957","","Total gram weight","","N","216.0","1",""
"57958","","Separable Lean","","N","130.0","1",""
"57959","","Handling loss","","N","3.5","1",""
"57960","","Skin and separable fat","","Y","50.9","1",""
"57961","","Bone and cartilage","","Y","22.9","1",""
"57962","","Edible portion","","N","94.6","1",""
"57963","","Total gram weight","","N","172.0","1",""
"57964","","Separable Lean","","N","94.6","1",""
"57965","","Handling loss","","N","5.6","1",""
"57966","","Skin and separable fat","","Y","66.1","1",""
"57967","","Bone and cartilage","","Y","30.6","1",""
"57968","","Edible portion","","N","109.0","1",""
"57969","","Total gram weight","","N","211.0","1",""
"57970","","Separable Lean","","N","109.0","1",""
"57971","","Handling loss","","N","7.3","1",""
"57972","","Skin and separable fat","","Y","38.3","1",""
"57973","","Bone and cartilage","","Y","36.5","1",""
"57974","","Edible portion","","N","101.0","1",""
"57975","","Total gram weight","","N","183.0","1",""
"57976","","Separable Lean","","N","101.0","1",""
"57977","","Edible portion","","N","89.3","1",""
"57978","","Handling loss","","N","7.0","1",""
"57979","","Skin and separable fat","","Y","39.7","1",""
"57980","","Bone and cartilage","","Y","23.4","1",""
"57981","","Total gram weight","","N","159.0","1",""
"57982","","Separable Lean","","N","89.3","1",""
"57983","","Edible portion","","N","98.3","1",""
"57984","","Handling loss","","N","6.0","1",""
"57985","","Skin and separable fat","","Y","37.3","1",""
"57986","","Bone and cartilage","","Y","29.8","1",""
"57987","","Total gram weight","","N","171.0","1",""
"57988","","Separable Lean","","N","98.3","1",""
"57989","","Edible portion","","N","81.1","1",""
"57990","","Handling loss","","N","3.1","1",""
"57991","","Skin and separable fat","","Y","46.2","1",""
"57992","","Bone and cartilage","","Y","24.0","1",""
"57993","","Total gram weight","","N","154.0","1",""
"57994","","Separable Lean","","N","81.1","1",""
"57995","","Edible portion","","N","138.0","1",""
"57996","","Handling loss","","N","6.7","1",""
"57997","","Skin and separable fat","","Y","44.6","1",""
"57998","","Bone and cartilage","","Y","24.1","1",""
"57999","","Total gram weight","","N","214.0","1",""
"58000","","Separable Lean","","N","138.0","1",""
"58001","","Edible portion","","N","112.0","1",""
"58002","","Handling loss","","N","8.1","1",""
"58003","","Skin and separable fat","","Y","62.9","1",""
"58004","","Bone and cartilage","","Y","35.3","1",""
"58005","","Total gram weight","","N","219.0","1",""
"58006","","Separable Lean","","N","112.0","1",""
"58007","","Edible portion","","N","105.0","1",""
"58008","","Handling loss","","N","1.0","1",""
"58009","","Skin and separable fat","","Y","45.6","1",""
"58010","","Bone and cartilage","","Y","25.5","1",""
"58011","","Total gram weight","","N","177.0","1",""
"58012","","Separable Lean","","N","105.0","1",""
"58013","","Handling loss","","N","5.6","1",""
"58014","","Skin and separable fat","","Y","50.4","1",""
"58015","","Bone and cartilage","","Y","30.9","1",""
"58016","","Edible portion","","N","108.0","1",""
"58017","","Total gram weight","","N","194.0","1",""
"58018","","Separable Lean","","N","108.0","1",""
"58019","","Handling loss","","N","6.5","1",""
"58020","","Skin and separable fat","","Y","45.1","1",""
"58021","","Bone and cartilage","","Y","29.1","1",""
"58022","","Edible portion","","N","106.0","1",""
"58023","","Total gram weight","","N","186.0","1",""
"58024","","Separable Lean","","N","106.0","1",""
"58025","","Edible portion","","N","127.0","1",""
"58026","","Handling loss","","N","5.7","1",""
"58027","","Skin and separable fat","","Y","41.2","1",""
"58028","","Bone and cartilage","","Y","38.2","1",""
"58029","","Total gram weight","","N","212.0","1",""
"58030","","Separable Lean","","N","127.0","1",""
"58031","","Handling loss","","N","4.5","1",""
"58032","","Skin and separable fat","","Y","58.0","1",""
"58033","","Bone and cartilage","","Y","36.6","1",""
"58034","","Edible portion","","N","114.0","1",""
"58035","","Total gram weight","","N","213.0","1",""
"58036","","Separable Lean","","N","114.0","1",""
"58037","","Edible portion","","N","91.3","1",""
"58038","","Handling loss","","N","4.9","1",""
"58039","","Skin and separable fat","","Y","35.0","1",""
"58040","","Bone and cartilage","","Y","21.1","1",""
"58041","","Total gram weight","","N","152.0","1",""
"58042","","Separable Lean","","N","91.3","1",""
"58043","","Edible portion","","N","140.0","1",""
"58044","","Handling loss","","N","7.3","1",""
"58045","","Skin and separable fat","","Y","58.5","1",""
"58046","","Bone and cartilage","","Y","30.5","1",""
"58047","","Total gram weight","","N","236.0","1",""
"58048","","Separable Lean","","N","140.0","1",""
"58049","","Edible portion","","N","99.1","1",""
"58050","","Handling loss","","N","6.8","1",""
"58051","","Skin and separable fat","","Y","38.8","1",""
"58052","","Bone and cartilage","","Y","29.3","1",""
"58053","","Total gram weight","","N","174.0","1",""
"58054","","Separable Lean","","N","99.1","1",""
